Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_ddos,Clean_Miss_dos,Clean_Miss_reconnaissance,Clean_Miss_theft,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_ddos,Adv_Miss_dos,Adv_Miss_reconnaissance,Adv_Miss_theft
Bot-IoT,RANDOM_LINF,1,5,2048,3,4.547385931015015,2.7998664379119873,41.274442102202514,0.9405575343461511,0.9450069279127604,0.9405575343461511,0.9344187112012765,0.887339240992003,0.7333333333333333,9.08752192364664e-06,0.8761960740743998,0.3419962565945625,0.5264600501185195,0.0,0.0,0.0003713330857779428,0.0,0.527813113324126,0.5058414154140831,0.527813113324126,0.48464512050973635,0.050964756153842064,1.0,7.270017538917312e-05,0.7256112353913607,0.2179725724766985,0.21316922553146278,3.461465238235345e-05,2.0174306003873465e-05,0.001856665428889714,0.0
Bot-IoT,RANDOM_L2,1,5,2048,3,4.547385931015015,2.8093512058258057,41.63244166606091,0.9405575343461511,0.9450069279127604,0.9405575343461511,0.9344187112012765,0.887339240992003,0.7333333333333333,9.08752192364664e-06,0.8761960740743998,0.3419962565945625,0.5264600501185195,0.0,0.0,0.0003713330857779428,0.0,0.5242331176855419,0.5005071271078404,0.5242331176855419,0.47940251503697306,0.0408634105856616,1.0,5.4525131541879844e-05,0.683449826110534,0.21366028291168693,0.20139624253910599,0.0,8.069722401549386e-05,0.0007426661715558856,0.0
Bot-IoT,FGSM,1,10,1024,2,3.002309560775757,1.5839579105377197,53.03936177945773,0.9993276150323471,0.9993191583464166,0.9993276150323471,0.9993165460649057,0.9987094314935498,0.26666666666666666,0.0,0.9401809967619398,0.4474963664536273,0.7664882505528845,0.0,0.0,0.0,0.0,0.46893399723776985,0.37260262132125566,0.46893399723776985,0.3819283200785695,-0.12248856938632252,1.0,0.0005725138811897383,0.5825129784319155,0.21687009613887667,0.1503573029679495,0.0,0.0012709812782440283,0.0,0.0
Bot-IoT,RANDOM_LINF,1,10,1024,2,3.002309560775757,2.0893380641937256,46.642618303409165,0.9993276150323471,0.9993191583464166,0.9993276150323471,0.9993165460649057,0.9987094314935498,0.26666666666666666,0.0,0.9401809967619398,0.4474963664536273,0.7664882505528845,0.0,0.0,0.0,0.0,0.5329014319982555,0.5170516835872078,0.5329014319982555,0.497980652127518,0.06966615413654534,1.0,0.00012722530693105296,0.6070385310500374,0.21977413433678206,0.22369152676424262,8.653663095588362e-05,0.00016139444803098772,0.0003713330857779428,0.0
Bot-IoT,RANDOM_L2,1,10,1024,2,3.002309560775757,2.1510255336761475,47.43130769789925,0.9993276150323471,0.9993191583464166,0.9993276150323471,0.9993165460649057,0.9987094314935498,0.26666666666666666,0.0,0.9401809967619398,0.4474963664536273,0.7664882505528845,0.0,0.0,0.0,0.0,0.5250145380533546,0.5056498089262769,0.5250145380533546,0.4875582522472576,0.04956943878307603,1.0,9.087521923646641e-05,0.6663799788776898,0.21389561950937233,0.2091494182824288,5.192197857353018e-05,0.00010087153001936733,0.0007426661715558856,0.0
Bot-IoT,FGSM,1,10,1024,3,2.9210917949676514,2.6068291664123535,79.8620702187977,0.9668895834847714,0.9683958139571899,0.9668895834847714,0.9626352648667947,0.9366907278666641,0.3333333333333333,0.0,0.974420294208401,0.5030140895777258,0.6436462676859662,0.0,0.0,0.0,0.0,0.16826888129679435,0.15613533469359178,0.16826888129679435,0.1581914353081676,-0.6195317887748186,0.8666666666666667,0.0,0.4154489026762396,0.14421591395239397,0.11446134980924585,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_LINF,1,10,1024,3,2.9210917949676514,2.8316497802734375,46.32459838627607,0.9668895834847714,0.9683958139571899,0.9668895834847714,0.9626352648667947,0.9366907278666641,0.3333333333333333,0.0,0.974420294208401,0.5030140895777258,0.6436462676859662,0.0,0.0,0.0,0.0,0.5036435996220107,0.48477545072741923,0.5036435996220107,0.48087531354936314,0.009017853654796007,1.0,0.00043620105233503875,0.7080910502919091,0.21086401137628547,0.20950876961399406,0.00025960989286765085,0.00032278889606197545,0.0063126624582250275,0.0
Bot-IoT,RANDOM_L2,1,10,1024,3,2.9210917949676514,2.8026304244995117,46.114705240968235,0.9668895834847714,0.9683958139571899,0.9668895834847714,0.9626352648667947,0.9366907278666641,0.3333333333333333,0.0,0.974420294208401,0.5030140895777258,0.6436462676859662,0.0,0.0,0.0,0.0,0.505742531075089,0.4858899990832264,0.505742531075089,0.4829194241711623,0.012849643608747033,1.0,0.0003180632673276324,0.5573051780650186,0.2079421356856812,0.20414018833329434,0.00024230256667647415,0.00028244028405422856,0.0025993316004456,0.0
Bot-IoT,FGSM,1,10,2048,2,2.9209201335906982,1.5053281784057617,58.68830413607618,0.9627916696954277,0.9646438397622612,0.9627916696954277,0.9585008021345487,0.9289868522897333,0.6666666666666666,0.0,0.9781683808924043,0.5187665289292246,0.5810234307391203,0.0,0.0,0.0,0.0,0.375908628334666,0.29600144620510416,0.375908628334666,0.3205924085873343,-0.29156434383862295,1.0,3.635008769458656e-05,0.5341904451315259,0.15836005870484096,0.12521903058087602,1.7307326191176726e-05,4.034861200774693e-05,0.0003713330857779428,0.0
Bot-IoT,RANDOM_LINF,1,10,2048,2,2.9209201335906982,2.217487335205078,45.556807443483315,0.9627916696954277,0.9646438397622612,0.9627916696954277,0.9585008021345487,0.9289868522897333,0.6666666666666666,0.0,0.9781683808924043,0.5187665289292246,0.5810234307391203,0.0,0.0,0.0,0.0,0.5072235952605946,0.49125061249716384,0.5072235952605946,0.48662360961828305,0.02191911288214405,1.0,0.0006179514908079716,0.711087749948243,0.21427065725136246,0.2222770226771081,0.0004153758285882414,0.0005447062621045836,0.0063126624582250275,0.0
