Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_analysis;Clean_Miss_backdoor;Clean_Miss_dos;Clean_Miss_exploits;Clean_Miss_fuzzers;Clean_Miss_generic;Clean_Miss_reconnaissance;Clean_Miss_shellcode;Clean_Miss_worms;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_analysis;Adv_Miss_backdoor;Adv_Miss_dos;Adv_Miss_exploits;Adv_Miss_fuzzers;Adv_Miss_generic;Adv_Miss_reconnaissance;Adv_Miss_shellcode;Adv_Miss_worms
UNSW-NB15;RANDOM_L2;gaussian;10;15;2048;2;15,868971347808838;90,73978757858276;48,1501724724287;0,613090900257494;0,7547366432257142;0,613090900257494;0,6416766825479662;0,5223775970335759;0,3994864864864865;0,0173608047295508;0,6514132456467472;0,1926628879973598;0,2626439456548343;0,0147710487444608;0,0051457975986277;0,012227928588897;0,0267696730147323;0,0524579346750247;0,0018017063218695;0,0197368421052631;0,0105820105820105;0,0227272727272727;0,131589175533207;0,3575856044414898;0,131589175533207;0,0505283962953768;0,0045839257793969;0,9885675675675676;0,0052942733609812;0,5770865689643958;0,1145168046056055;0,0381040820372714;0,0;0,0;0,0036683785766691;0,0099712540424002;0,0072583305839656;0,002914524932436;0,0034324942791762;0,0079365079365079;0,0
UNSW-NB15;FGSM;gaussian;10;15;2048;3;16,0527606010437;90,92307615280151;49,80809405820337;0,6129572948549774;0,7687411778425551;0,6129572948549774;0,6442098819262206;0,5225154267877282;0,4066216216216216;0,0137651107385511;0,6497694937723697;0,18446499585616;0,2726518978197833;0,0192023633677991;0,0051457975986277;0,0156517485937882;0,0221882860222781;0,0321676014516661;0,0016427322346457;0,0185926773455377;0,0158730158730158;0,0;0,1148763542729437;0,1443382656030733;0,1148763542729437;0,1011135085866232;-0,0362677955782961;0,8985945945945946;0,2406026647842583;0,5010438832756278;0,0996129303725735;0,0425616296284828;0,9379615952732644;0,8473413379073756;0,685986793837124;0,3486345670140136;0,4046519300560871;0,0068358857506226;0,1350114416475972;0,0873015873015873;0,1136363636363636
UNSW-NB15;RANDOM_LINF;gaussian;10;15;2048;3;16,0527606010437;96,72028398513794;47,79794004761211;0,6129572948549774;0,7687411778425551;0,6129572948549774;0,6442098819262206;0,5225154267877282;0,4066216216216216;0,0137651107385511;0,6497694937723697;0,18446499585616;0,2726518978197833;0,0192023633677991;0,0051457975986277;0,0156517485937882;0,0221882860222781;0,0321676014516661;0,0016427322346457;0,0185926773455377;0,0158730158730158;0,0;0,1349778943788563;0,4351122402550308;0,1349778943788563;0,0526427417745501;0,0167410268529605;0,988054054054054;0,0073899232330362;0,5649524441387355;0,1151083684860501;0,0401654138994147;0,001477104874446;0,0051457975986277;0,0041574957202249;0,0103305785123966;0,0074232926426921;0,0066239203009909;0,0068649885583524;0,0132275132275132;0,0
UNSW-NB15;RANDOM_L2;gaussian;10;15;2048;3;16,0527606010437;94,9643898010254;48,0141378807754;0,6129572948549774;0,7687411778425551;0,6129572948549774;0,6442098819262206;0,5225154267877282;0,4066216216216216;0,0137651107385511;0,6497694937723697;0,18446499585616;0,2726518978197833;0,0192023633677991;0,0051457975986277;0,0156517485937882;0,0221882860222781;0,0321676014516661;0,0016427322346457;0,0185926773455377;0,0158730158730158;0,0;0,1328159160472234;0,398682324169368;0,1328159160472234;0,0498918021031664;0,0121912421360173;0,9902162162162162;0,0069707932586252;0,5596928821884491;0,1150336771311366;0,038917009378554;0,0059084194977843;0,0;0,0063585228662264;0,0104204096298957;0,0069284064665127;0,0059350325896878;0,0042906178489702;0,0026455026455026;0,0
UNSW-NB15;FGSM;gaussian;10;20;1024;2;12,714539051055908;40,1613085269928;41,44075207695671;0,6344799106058397;0,745992147547632;0,6344799106058397;0,6575958403374395;0,5465482034626489;0,3974864864864865;0,0174931615635754;0,6634186608944274;0,1877694093132385;0,2758553529912057;0,0605612998522895;0,0137221269296741;0,0112496943017852;0,022098454904779;0,0640052787858792;0,0016427322346457;0,0088672768878718;0,0052910052910052;0,0;0,2200723898362726;0,3397024353569632;0,2200723898362726;0,2487610162184585;0,0641401974901891;0,6157837837837837;0,2311832700961793;0,5676687859121619;0,1448270595954006;0,0927118013512566;0,8537666174298375;0,7873070325900514;0,58669601369528;0,3415379087315846;0,4214780600461894;0,0057230671400561;0,154462242562929;0,074074074074074;0,25
UNSW-NB15;RANDOM_LINF;gaussian;10;20;1024;2;12,714539051055908;105,79419589042664;47,753000048583786;0,6344799106058397;0,745992147547632;0,6344799106058397;0,6575958403374395;0,5465482034626489;0,3974864864864865;0,0174931615635754;0,6634186608944274;0,1877694093132385;0,2758553529912057;0,0605612998522895;0,0137221269296741;0,0112496943017852;0,022098454904779;0,0640052787858792;0,0016427322346457;0,0088672768878718;0,0052910052910052;0,0;0,1569499101200019;0,3864053752694523;0,1569499101200019;0,1330156557201891;0,0214909365325178;0,8813783783783784;0,0674358069354981;0,532792466976315;0,1067596296832801;0,0604383990560307;0,0428360413589364;0,0548885077186964;0,0540474443629249;0,0948616600790513;0,0706037611349389;0,0543161464681256;0,0683638443935926;0,0582010582010582;0,1136363636363636
UNSW-NB15;RANDOM_L2;gaussian;10;20;1024;2;12,714539051055908;106,20944952964784;47,6619054559588;0,6344799106058397;0,745992147547632;0,6344799106058397;0,6575958403374395;0,5465482034626489;0,3974864864864865;0,0174931615635754;0,6634186608944274;0,1877694093132385;0,2758553529912057;0,0605612998522895;0,0137221269296741;0,0112496943017852;0,022098454904779;0,0640052787858792;0,0016427322346457;0,0088672768878718;0,0052910052910052;0,0;0,1578608560462517;0,3936512912790731;0,1578608560462517;0,1331114282453296;0,0221235364167106;0,8812432432432432;0,069421159445866;0,5355421690466781;0,1065377623551628;0,0608775928261436;0,0428360413589364;0,0566037735849056;0,0655416972364881;0,0963887890765361;0,0704387990762124;0,0567537491388903;0,0623569794050343;0,0502645502645502;0,2045454545454545
UNSW-NB15;FGSM;gaussian;10;20;1024;3;13,050146341323853;43,99070906639099;50,97774862750813;0,601345770781713;0,7364336022842339;0,601345770781713;0,6363954907139775;0,5043646940569058;0,3921621621621621;0,0188608488484955;0,656399454438104;0,1808799230370635;0,2685893117245183;0,0310192023633678;0,0017152658662092;0,0129616043042308;0,0263205174272367;0,0677994061365885;0,0018546976842774;0,0105835240274599;0,0079365079365079;0,0227272727272727;0,0915682845066316;0,1563383983359855;0,0915682845066316;0,0948516166936217;-0,0499620295852095;0,9037297297297298;0,2504411894467484;0,5525445936509288;0,1148508426420072;0,0405300595907044;0,9630723781388478;0,8765008576329331;0,7033504524333578;0,3891484010061085;0,3914549653579676;0,0062529807641354;0,1304347826086956;0,0687830687830687;0,2045454545454545
UNSW-NB15;RANDOM_LINF;gaussian;10;20;1024;3;13,050146341323853;127,81350946426392;44,29504931253947;0,601345770781713;0,7364336022842339;0,601345770781713;0,6363954907139775;0,5043646940569058;0,3921621621621621;0,0188608488484955;0,656399454438104;0,1808799230370635;0,2685893117245183;0,0310192023633678;0,0017152658662092;0,0129616043042308;0,0263205174272367;0,0677994061365885;0,0018546976842774;0,0105835240274599;0,0079365079365079;0,0227272727272727;0,1583952776563183;0,4024481859089529;0,1583952776563183;0,1366003513355205;0,0196194483992225;0,8768648648648648;0,0845760169416747;0,5321995913677889;0,1074992281973815;0,0594426277935252;0,0605612998522895;0,0600343053173241;0,0721447786744925;0,0990837226015091;0,0729132299571098;0,0878066875099358;0,0683638443935926;0,0476190476190476;0,0909090909090909
UNSW-NB15;RANDOM_L2;gaussian;10;20;1024;3;13,050146341323853;128,3940713405609;44,41529417480445;0,601345770781713;0,7364336022842339;0,601345770781713;0,6363954907139775;0,5043646940569058;0,3921621621621621;0,0188608488484955;0,656399454438104;0,1808799230370635;0,2685893117245183;0,0310192023633678;0,0017152658662092;0,0129616043042308;0,0263205174272367;0,0677994061365885;0,0018546976842774;0,0105835240274599;0,0079365079365079;0,0227272727272727;0,1571928290336685;0,3907717243019983;0,1571928290336685;0,1353128703326664;0,016873245764423;0,8777567567567568;0,0860981205329568;0,5456464928813662;0,1070990144641404;0,0587499594001225;0,053175775480059;0,0497427101200686;0,065786255808266;0,0995328781890046;0,0798416364236225;0,090615229717556;0,0683638443935926;0,0687830687830687;0,0454545454545454
