Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_Miss_Attack;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_Miss_Attack
UNSW-NB15;RANDOM_L2;distributive;10;20;1024;3;12,628649711608888;3,829968929290772;23,787834620803583;0,8348758684351164;0,92480256993709;0,7620665313685696;0,8355847956752573;0,6855691177322508;0,0759189189189189;0,2379334686314303;0,7902743008935875;0,8705451677719491;0,2379334686314303;0,5969975222270806;0,6687965329481054;0,5310597370510898;0,5920224277001771;0,2094295293162579;0,3222162162162162;0,4689402629489103;0,6540203221398404;0,6834437445013272;0,4689402629489103
UNSW-NB15;FGSM;distributive;10;20;2048;2;12,634165287017822;3,339086532592773;45,40518874799592;0,7873123451391926;0,9401082038788876;0,655475161034148;0,7724041123487438;0,6181054488693356;0,0511621621621621;0,3445248389658519;0,8212394102608741;0,8938912747459056;0,3445248389658519;0,3332604576592333;0,1886558999739515;0,0639062913615106;0,095471921961508;-0,3484065611754179;0,3367297297297297;0,9360937086384894;0,3892271612917073;0,4531270795572686;0,9360937086384894
UNSW-NB15;RANDOM_LINF;distributive;10;20;2048;2;12,634165287017822;3,816284656524658;24,691492979643403;0,7873123451391926;0,9401082038788876;0,655475161034148;0,7724041123487438;0,6181054488693356;0,0511621621621621;0,3445248389658519;0,8212394102608741;0,8938912747459056;0,3445248389658519;0,5403974153427585;0,6629120640167;0,3362525368393188;0,4461844685771156;0,1405505487909031;0,2094864864864865;0,6637474631606812;0,5955953955919212;0,6377731207954926;0,6637474631606812
UNSW-NB15;RANDOM_L2;distributive;10;20;2048;2;12,634165287017822;3,772595167160034;24,61497352183841;0,7873123451391926;0,9401082038788876;0,655475161034148;0,7724041123487438;0,6181054488693356;0,0511621621621621;0,3445248389658519;0,8212394102608741;0,8938912747459056;0,3445248389658519;0,5411626099208084;0,6595025967993919;0,3445468984381893;0,4526262406723176;0,1391206544373853;0,2179459459459459;0,6554531015618107;0,5971762071897185;0,636300205319957;0,6554531015618107
UNSW-NB15;FGSM;distributive;10;20;2048;3;12,685444831848145;3,891425609588623;17,154933683136576;0,8606374192294612;0,9481416772554002;0,7901041207094326;0,8619386821966598;0,7358730629354565;0,0529459459459459;0,2098958792905673;0,6982412176471008;0,7551735568737528;0,2098958792905673;0,6890880823980955;0,7832577366940345;0,6018706432542134;0,6806875732854327;0,400540887955565;0,204054054054054;0,3981293567457866;0,7960036532274797;0,8271099730036386;0,3981293567457866
UNSW-NB15;RANDOM_LINF;distributive;10;20;2048;3;12,685444831848145;4,0670554637908936;29,34460477092746;0,8606374192294612;0,9481416772554002;0,7901041207094326;0,8619386821966598;0,7358730629354565;0,0529459459459459;0,2098958792905673;0,6982412176471008;0,7551735568737528;0,2098958792905673;0,5671913715201866;0,6632659932659932;0,4345495455748698;0,5250826314105982;0,1701419725853485;0,2702972972972973;0,5654504544251302;0,6227093640671468;0,6551089969077333;0,5654504544251302
UNSW-NB15;RANDOM_L2;distributive;10;20;2048;3;12,685444831848145;4,338202714920044;29,027595588592536;0,8606374192294612;0,9481416772554002;0,7901041207094326;0,8619386821966598;0,7358730629354565;0,0529459459459459;0,2098958792905673;0,6982412176471008;0,7551735568737528;0,2098958792905673;0,5703614633435359;0,6667224696152945;0,439270272655078;0,5296081064907778;0,1761337383481749;0,269027027027027;0,5607297273449219;0,6259612644608784;0,6553905114825475;0,5607297273449219
UNSW-NB15;FGSM;distributive;16;10;2048;2;154,36028859997168;11,057142700068653;28,428800466404315;0,7441456541806345;0,9678426836321572;0,5537148151416218;0,704421401209536;0,5688126000367356;0,0225405405405405;0,4462851848583782;0,7959602547928675;0,8847503447899279;0,4462851848583782;0,4598576495165913;0,5440409207161125;0,1173122738904085;0,1930063331337216;-0,0048398021858693;0,1204594594594594;0,8826877261095915;0,4208304592424419;0,5540306038657581;0,8826877261095915
UNSW-NB15;RANDOM_LINF;distributive;16;10;2048;2;154,36028859997168;12,518096500309184;24,974493514065006;0,7441456541806345;0,9678426836321572;0,5537148151416218;0,704421401209536;0,5688126000367356;0,0225405405405405;0,4462851848583782;0,7959602547928675;0,8847503447899279;0,4462851848583782;0,4944007190399844;0,6799766831827455;0,1543942468896144;0,2516494382022471;0,0983124439240065;0,089027027027027;0,8456057531103855;0,5982345640332825;0,6211869272725479;0,8456057531103855
UNSW-NB15;RANDOM_L2;distributive;16;10;2048;2;154,36028859997168;11,80285600014031;25,13360540251664;0,7441456541806345;0,9678426836321572;0,5537148151416218;0,704421401209536;0,5688126000367356;0,0225405405405405;0,4462851848583782;0,7959602547928675;0,8847503447899279;0,4462851848583782;0,4928096001554681;0,6682991147108683;0,1565340157063443;0,2536550491510277;0,0910453795549215;0,0951891891891891;0,8434659842936557;0,593967334392983;0,6189297681492892;0,8434659842936557
