Dataset;Attack;Binarization;Resolution;AddressSize;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_analysis;Clean_Miss_backdoor;Clean_Miss_dos;Clean_Miss_exploits;Clean_Miss_fuzzers;Clean_Miss_generic;Clean_Miss_reconnaissance;Clean_Miss_shellcode;Clean_Miss_worms;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_analysis;Adv_Miss_backdoor;Adv_Miss_dos;Adv_Miss_exploits;Adv_Miss_fuzzers;Adv_Miss_generic;Adv_Miss_reconnaissance;Adv_Miss_shellcode;Adv_Miss_worms
UNSW-NB15;C&W;distributive;8;5;13,455552299972624;13,613021599827334;-0,0012145945683328;0,6412452023514551;0,641755814752077;0,6412452023514551;0,6181604280775944;0,4822731757486837;0,169054054054054;0,3244286596664608;0,5991744851637879;0,2057095337285474;0,2526206844516278;0,3072378138847858;0,3327615780445969;0,2044509660063585;0,3491735537190082;0,5197954470471792;0,2552593927189868;0,4279176201372998;0,2989417989417989;0,1136363636363636;0,6412573482971384;0,6417625777200348;0,6412573482971384;0,6181697291988677;0,4822890051847264;0,169027027027027;0,3244286596664608;0,5991765387623303;0,2057123153050428;0,2526240287667745;0,3072378138847858;0,3327615780445969;0,2044509660063585;0,3491735537190082;0,5197954470471792;0,2552593927189868;0,4279176201372998;0,2989417989417989;0,1136363636363636
UNSW-NB15;C&W;distributive;8;10;11,676746099954473;7,6722179998178035;-0,0012145945683328;0,7118860224457076;0,721515863377377;0,7118860224457076;0,6946647252683673;0,5949573594798779;0,1843783783783783;0,19224830142063;0,6343311914226463;0,2502617544932334;0,3025660646081864;0,2732644017725258;0,2710120068610634;0,1658107116654438;0,264193316564858;0,3733091388980534;0,0347623337396004;0,4842677345537757;0,3597883597883597;0,1136363636363636;0,711898168391391;0,7215228011842637;0,711898168391391;0,6946747165524694;0,5949723351792883;0,1843513513513513;0,19224830142063;0,6343332450211887;0,2502651839773813;0,3025697654725299;0,2732644017725258;0,2710120068610634;0,1658107116654438;0,264193316564858;0,3733091388980534;0,0347623337396004;0,4842677345537757;0,3597883597883597;0,1136363636363636
UNSW-NB15;C&W;distributive;8;15;11,895410999888554;6,3604777997825295;0,0;0,7135378710586406;0,7311874131665435;0,7135378710586406;0,7025757492794497;0,601856963522853;0,1974594594594594;0,1654239830583252;0,6422691879245475;0,2594143170785479;0,3165588936176542;0,1964549483013294;0,2006861063464837;0,1389092687698704;0,2858426158821415;0,3418013856812933;0,0109692120184409;0,3152173913043478;0,2989417989417989;0,1136363636363636;0,7135378710586406;0,7311874131665435;0,7135378710586406;0,7025757492794497;0,601856963522853;0,1974594594594594;0,1654239830583252;0,6422691879245475;0,2594143170785479;0,3165588936176542;0,1964549483013294;0,2006861063464837;0,1389092687698704;0,2858426158821415;0,3418013856812933;0,0109692120184409;0,3152173913043478;0,2989417989417989;0,1136363636363636
UNSW-NB15;C&W;distributive;8;20;11,603063100017607;4,50613859994337;0,0;0,7116552494777243;0,7222781419857817;0,7116552494777243;0,7023303642851091;0,6014258141494315;0,2122972972972973;0,1575266919615282;0,6421892354107891;0,2610902924383939;0,3170170804775979;0,3323485967503692;0,3550600343053173;0,1249694301785277;0,2178404599353215;0,4046519300560871;0,0082136611732287;0,3080663615560641;0,2248677248677248;0,0681818181818181;0,7116552494777243;0,7222781419857817;0,7116552494777243;0,7023303642851091;0,6014258141494315;0,2122972972972973;0,1575266919615282;0,6421892354107891;0,2610902924383939;0,3170170804775979;0,3323485967503692;0,3550600343053173;0,1249694301785277;0,2178404599353215;0,4046519300560871;0,0082136611732287;0,3080663615560641;0,2248677248677248;0,0681818181818181
UNSW-NB15;C&W;distributive;10;5;17,425687100039795;16,851154500152916;0,0;0,6879220716124957;0,7056869168315897;0,6879220716124957;0,6791963641008892;0,5779733112996581;0,2573783783783784;0,1251213270978558;0,6310995060514507;0,2452420024572859;0,2930082111070602;0,1181683899556868;0,1457975986277873;0,1310833944729763;0,17499101688825;0,3749587594853183;0,0099623761326903;0,1350114416475972;0,2248677248677248;0,1136363636363636;0,6879220716124957;0,7056869168315897;0,6879220716124957;0,6791963641008892;0,5779733112996581;0,2573783783783784;0,1251213270978558;0,6310995060514507;0,2452420024572859;0,2930082111070602;0,1181683899556868;0,1457975986277873;0,1310833944729763;0,17499101688825;0,3749587594853183;0,0099623761326903;0,1350114416475972;0,2248677248677248;0,1136363636363636
UNSW-NB15;C&W;distributive;10;10;16,085207500029355;9,897820899728686;0,0;0,6997643686537434;0,7236028007636828;0,6997643686537434;0,696982731664049;0,5981686875469354;0,2629459459459459;0,1065693108620841;0,6443851808041614;0,2653132829832524;0,3163413025282912;0,1078286558345642;0,0977701543739279;0,1146979701638542;0,1537908731584621;0,3406466512702079;0,0092734884213873;0,0652173913043478;0,1243386243386243;0,1136363636363636;0,6997643686537434;0,7236028007636828;0,6997643686537434;0,696982731664049;0,5981686875469354;0,2629459459459459;0,1065693108620841;0,6443851808041614;0,2653132829832524;0,3163413025282912;0,1078286558345642;0,0977701543739279;0,1146979701638542;0,1537908731584621;0,3406466512702079;0,0092734884213873;0,0652173913043478;0,1243386243386243;0,1136363636363636
UNSW-NB15;C&W;distributive;10;15;15,445550400065258;6,277095600031316;0,0;0,7305664869066706;0,7463183571953113;0,7305664869066706;0,7224439577405429;0,6353311168190771;0,2196486486486486;0,1045398394070413;0,6556654046019199;0,284339271481893;0,3359386018873593;0,1831610044313146;0,1337907375643224;0,099046221570066;0,1456162414660438;0,3488947542065325;0,009432462508611;0,0534897025171624;0,0793650793650793;0,0227272727272727;0,7305664869066706;0,7463183571953113;0,7305664869066706;0,7224439577405429;0,6353311168190771;0,2196486486486486;0,1045398394070413;0,6556654046019199;0,284339271481893;0,3359386018873593;0,1831610044313146;0,1337907375643224;0,099046221570066;0,1456162414660438;0,3488947542065325;0,009432462508611;0,0534897025171624;0,0793650793650793;0,0227272727272727
UNSW-NB15;C&W;distributive;10;20;15,161306600086393;4,685669599566609;-0,0012145945683328;0,7325827138901034;0,7584122788239107;0,7325827138901034;0,7255093622880419;0,6414559424685566;0,2262702702702702;0,0915468102003;0,6585113324072225;0,2907548857107572;0,3405589130485993;0,1491875923190546;0,1029159519725557;0,0841281486916116;0,1072583542939274;0,3462553612669086;0,0064119548513592;0,0543478260869565;0,0978835978835978;0,0909090909090909;0,7325948598357868;0,7584163021830415;0,7325948598357868;0,7255185117596712;0,6414697071593151;0,2262432432432432;0,0915468102003;0,658513339324327;0,2907574713545808;0,3405627130811269;0,1491875923190546;0,1029159519725557;0,0841281486916116;0,1072583542939274;0,3462553612669086;0,0064119548513592;0,0543478260869565;0,0978835978835978;0,0909090909090909
UNSW-NB15;C&W;distributive;16;5;27,39539929991588;24,26690459996462;0,0;0,6796142447650975;0,6751646614949922;0,6796142447650975;0,6627101359044522;0,5488100020870649;0,212027027027027;0,2056163416571075;0,6166863550407905;0,2301111819334683;0,2726256466065661;0,1122599704579025;0,1252144082332761;0,2286622646123746;0,3676787639238232;0,452161002969317;0,0173281755073922;0,2611556064073226;0,3862433862433862;0,3863636363636363;0,6796142447650975;0,6751646614949922;0,6796142447650975;0,6627101359044522;0,5488100020870649;0,212027027027027;0,2056163416571075;0,6166863550407905;0,2301111819334683;0,2726256466065661;0,1122599704579025;0,1252144082332761;0,2286622646123746;0,3676787639238232;0,452161002969317;0,0173281755073922;0,2611556064073226;0,3862433862433862;0,3863636363636363
UNSW-NB15;C&W;distributive;16;10;25,055915100034326;14,40203439979814;-0,0012145945683328;0,6984404605742603;0,7124240186462955;0,6984404605742603;0,6823000324152195;0,5833175326100006;0,2148648648648648;0,1545266037236389;0,6256829933520456;0,2391271317823833;0,2811554767415533;0,138847858197932;0,1080617495711835;0,140376620200538;0,2239489759252605;0,4333553282744968;0,0104392983943617;0,2351258581235698;0,3227513227513227;0,2954545454545454;0,6984526065199437;0,7124292688903531;0,6984526065199437;0,6823097350858653;0,5833313926188106;0,2148378378378378;0,1545266037236389;0,6256850469505879;0,2391300117571938;0,2811588208982868;0,138847858197932;0,1080617495711835;0,140376620200538;0,2239489759252605;0,4333553282744968;0,0104392983943617;0,2351258581235698;0,3227513227513227;0,2954545454545454
