Dataset;Attack;Binarization;Resolution;AddressSize;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_reconnaissance;Clean_Miss_theft;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_reconnaissance;Adv_Miss_theft
Bot-IoT;FGSM;distributive;2;5;0,278588056564331;0,4251110553741455;92,42476557388966;0,9955749800101766;0,9955995364977172;0,9955749800101766;0,9953684227451528;0,9915133468470432;0,7333333333333333;0,0;0,8092396117023822;0,6189076326684205;0,6650561967405514;0,0;0,0;0,0;0,0;0,07132732427128;0,0717536812136462;0,07132732427128;0,0681468983633367;-0,8131472168728301;1,0;0,0;0,3350396064679866;0,1881656862827628;0,030134823476461;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;2;5;0,278588056564331;0,6717052459716797;48,32085483753725;0,9955749800101766;0,9955995364977172;0,9955749800101766;0,9953684227451528;0,9915133468470432;0,7333333333333333;0,0;0,8092396117023822;0,6189076326684205;0,6650561967405514;0,0;0,0;0,0;0,0;0,5123664316348041;0,5046320089351679;0,5123664316348041;0,5037325814573596;0,039524721583042;1,0;2,726256577093992e-05;0,5190799061252569;0,2141662582550834;0,2415469906382539;1,7307326191176726e-05;2,0174306003873465e-05;0,0003713330857779;0,0
Bot-IoT;RANDOM_L2;distributive;2;5;0,278588056564331;0,6736311912536621;48,57981391291706;0,9955749800101766;0,9955995364977172;0,9955749800101766;0,9953684227451528;0,9915133468470432;0,7333333333333333;0,0;0,8092396117023822;0,6189076326684205;0,6650561967405514;0,0;0,0;0,0;0,0;0,509776840881006;0,4984565133844542;0,509776840881006;0,4981362258238651;0,0299916503882885;1,0;3,635008769458656e-05;0,5106166255535516;0,2059950993720748;0,2191876418935665;5,192197857353018e-05;0,0;0,0003713330857779;0,0
Bot-IoT;FGSM;distributive;2;10;0,2598319053649902;0,3086376190185547;89,99781929199679;0,9994820818492404;0,9994734565948108;0,9994820818492404;0,9994752912134444;0,9990058537118772;0,0666666666666666;0,0;0,8913359329732404;0,7827396146601174;0,7910699710177788;0,0;0,0;0,0;0,0;0,0995038889292723;0,1016885683990252;0,0995038889292723;0,0989673560552364;-0,745753290161292;1,0;0,0056070010268899;0,3460843689091016;0,1842864372946444;0,041966447007616;0,0013499714429117;2,0174306003873465e-05;0,1997772001485332;0,0
Bot-IoT;RANDOM_LINF;distributive;2;10;0,2598319053649902;0,5116472244262695;46,541760558261245;0,9994820818492404;0,9994734565948108;0,9994820818492404;0,9994752912134444;0,9990058537118772;0,0666666666666666;0,0;0,8913359329732404;0,7827396146601174;0,7910699710177788;0,0;0,0;0,0;0,0;0,5340644762666279;0,5210563476478846;0,5340644762666279;0,515647453852341;0,073717641281754;1,0;0,0001726629165492;0,518527192697936;0,2102841150307339;0,2245893311907968;0,000103843957147;0,0001412201420271;0,0022279985146676;0,0
Bot-IoT;RANDOM_L2;distributive;2;10;0,2598319053649902;0,4729647636413574;47,62393690484844;0,9994820818492404;0,9994734565948108;0,9994820818492404;0,9994752912134444;0,9990058537118772;0,0666666666666666;0,0;0,8913359329732404;0,7827396146601174;0,7910699710177788;0,0;0,0;0,0;0,0;0,523242712800756;0,5064681655706456;0,523242712800756;0,5007457350579365;0,0487959101888893;1,0;0,0001544878727019;0,5119260491866255;0,2058929740642578;0,2124334641643361;6,92293047647069e-05;0,0001815687540348;0,0014853323431117;0,0
Bot-IoT;FGSM;distributive;2;15;0,2389779090881347;0,5413248538970947;82,90960965326742;0,9998273606164134;0,9998182939602852;0,9998273606164134;0,9998213072322492;0,999668592770682;0,2;0,0;0,87983352992183;0,7594113297291402;0,7774660015403964;0,0;0,0;0,0;0,0;0,1707312640837391;0,165420401118936;0,1707312640837391;0,1678439105517552;-0,5674315385982448;1,0;0,0004271135304113;0,3760811220552392;0,1818500596318413;0,067053376591272;0,0007788296786029;4,034861200774693e-05;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;2;15;0,2389779090881347;0,4576618671417236;51,32296285527367;0,9998273606164134;0,9998182939602852;0,9998273606164134;0,9998213072322492;0,999668592770682;0,2;0,0;0,87983352992183;0,7594113297291402;0,7774660015403964;0,0;0,0;0,0;0,0;0,4865977320636767;0,5062753627405998;0,4865977320636767;0,4929120267928388;0,0516789111332924;1,0;0,0127497932588762;0,5205467933401737;0,206873014881534;0,2190295576360674;0,0106266982813825;0,0147474176888315;0,0215373189751206;0,0
Bot-IoT;RANDOM_L2;distributive;2;15;0,2389779090881347;0,4368951320648193;52,501453805335466;0,9998273606164134;0,9998182939602852;0,9998273606164134;0,9998213072322492;0,999668592770682;0,2;0,0;0,87983352992183;0,7594113297291402;0,7774660015403964;0,0;0,0;0,0;0,0;0,4748128225630588;0,4940430654553234;0,4748128225630588;0,4801640942665449;0,029023454947566;1,0;0,014349197117438;0,5111773665187088;0,2035778688419617;0,208749358850106;0,0129631873171913;0,0154938670109748;0,0230226513182324;0,0
Bot-IoT;FGSM;distributive;2;20;0,2479119300842285;0,3180563449859619;79,92658283055898;0,999654721232827;0,9996452887864732;0,999654721232827;0,9996489276772592;0,9993371504901584;0,1333333333333333;0,0;0,8855530221064395;0,7707238932838482;0,7843693429568044;0,0;0,0;0,0;0,0;0,200388892927237;0,2310576119372129;0,200388892927237;0,2128329174616927;-0,3560823549570004;0,8;0,0787342899464745;0,4345415091158748;0,183795266462963;0,1141902795878778;0,1255646515169871;0,0157561329890251;0,2331971778685481;0,0
Bot-IoT;RANDOM_LINF;distributive;2;20;0,2479119300842285;0,3240041732788086;60,32201788180562;0,999654721232827;0,9996452887864732;0,999654721232827;0,9996489276772592;0,9993371504901584;0,1333333333333333;0,0;0,8855530221064395;0,7707238932838482;0,7843693429568044;0,0;0,0;0,0;0,0;0,3964345424147706;0,497827843921872;0,3964345424147706;0,4332668278764742;0,0336184064170601;0,8666666666666667;0,0613407729846148;0,5223343085732678;0,2063928227140346;0,1989585869576469;0,0502604752591772;0,0707311168495803;0,1258819160787226;1,0
Bot-IoT;RANDOM_L2;distributive;2;20;0,2479119300842285;0,3188509941101074;62,88707567056772;0,999654721232827;0,9996452887864732;0,999654721232827;0,9996489276772592;0,9993371504901584;0,1333333333333333;0,0;0,8855530221064395;0,7707238932838482;0,7843693429568044;0,0;0,0;0,0;0,0;0,3707839645271498;0,4867459389099085;0,3707839645271498;0,4161120172852792;0,0151166949286055;0,8666666666666667;0,064548668223662;0,5089944457895146;0,2030320506125207;0,1878658565588166;0,0569584104951626;0,0711951258876694;0,1050872632751578;0,0
Bot-IoT;FGSM;distributive;4;5;1,0446827411651611;1,446481466293335;91,58882750599696;0,9991277167987208;0,9991194188475454;0,9991277167987208;0,9991194963219456;0,9983253695422292;0,1333333333333333;0,0;0,8841408526989831;0,7684096647938723;0,7831382815434011;0,0;0,0;0,0;0,0;0,0832394417387511;0,0795018957996102;0,0832394417387511;0,0777245423256853;-0,7913781499699527;1,0;0,0;0,3403193001309976;0,1868083125379044;0,0345068901518355;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;4;5;1,0446827411651611;1,6793053150177002;49,25401613723923;0,9991277167987208;0,9991194188475454;0,9991277167987208;0,9991194963219456;0,9983253695422292;0,1333333333333333;0,0;0,8841408526989831;0,7684096647938723;0,7831382815434011;0,0;0,0;0,0;0,0;0,5065875554263284;0,5079073200135126;0,5065875554263284;0,5026267208549603;0,0369124257073171;1,0;9,08752192364664e-06;0,5114259934837343;0,2076318106903677;0,2202091398450644;0,0;2,0174306003873465e-05;0,0;0,0
Bot-IoT;RANDOM_L2;distributive;4;5;1,0446827411651611;1,629403829574585;49,94639092825472;0,9991277167987208;0,9991194188475454;0,9991277167987208;0,9991194963219456;0,9983253695422292;0,1333333333333333;0,0;0,8841408526989831;0,7684096647938723;0,7831382815434011;0,0;0,0;0,0;0,0;0,4996638075161735;0,4968762932942424;0,4996638075161735;0,4952547769277729;0,0228156460850592;1,0;0,0;0,5068234706621337;0,2036568740513718;0,2108052369137142;0,0;0,0;0,0;0,0
Bot-IoT;FGSM;distributive;4;10;0,9648950099945068;1,0392041206359863;84,88769353783529;0,9997637566329868;0,9997547973114828;0,9997637566329868;0,9997546898012006;0,9995465387353752;0,3333333333333333;0,0;0,8665466341159146;0,7327857682304157;0,7597024008897175;0,0;0,0;0,0;0,0;0,150886821254634;0,1498205457357984;0,150886821254634;0,1493742145213056;-0,6650783239079542;1,0;0,0;0,3638375446614388;0,1807230551850737;0,0605039359383813;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;4;10;0,9648950099945068;1,104088306427002;47,11056189576216;0,9997637566329868;0,9997547973114828;0,9997637566329868;0,9997546898012006;0,9995465387353752;0,3333333333333333;0,0;0,8665466341159146;0,7327857682304157;0,7597024008897175;0,0;0,0;0,0;0,0;0,5286581376753653;0,5171480332750711;0,5286581376753653;0,5156766900774161;0,0675172709317553;1,0;7,270017538917312e-05;0,519778292661585;0,2113590437109926;0,231738091230441;3,461465238235345e-05;8,069722401549386e-05;0,0007426661715558;0,0
Bot-IoT;RANDOM_L2;distributive;4;10;0,9648950099945068;1,1124842166900637;47,85654575852294;0,9997637566329868;0,9997547973114828;0,9997637566329868;0,9997546898012006;0,9995465387353752;0,3333333333333333;0,0;0,8665466341159146;0,7327857682304157;0,7597024008897175;0,0;0,0;0,0;0,0;0,5211982990477575;0,5080036223640889;0,5211982990477575;0,5074422174355686;0,0511717666053696;1,0;9,996274116011304e-05;0,5138949748231433;0,2071845590065076;0,2198059967353721;3,461465238235345e-05;8,069722401549386e-05;0,0018566654288897;0,0
Bot-IoT;FGSM;distributive;4;15;0,8820838928222656;0,8789024353027344;66,40346732572509;0,9998182743330668;0,9998092268835426;0,9998182743330668;0,9998130802562653;0,9996511671223114;0,1333333333333333;0,0;0,8865246598480357;0,7730896908630509;0,7855742552355087;0,0;0,0;0,0;0,0;0,3357836010758159;0,2553260140165277;0,3357836010758159;0,2840942083454205;-0,3724821756845771;0,9333333333333332;0,0032260702828945;0,4409208629440529;0,1847654190431116;0,1162936159694785;0,0007096003738382;0,0063347320852162;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;4;15;0,8820838928222656;0,4961857795715332;48,44624554772116;0,9998182743330668;0,9998092268835426;0,9998182743330668;0,9998130802562653;0,9996511671223114;0,1333333333333333;0,0;0,8865246598480357;0,7730896908630509;0,7855742552355087;0,0;0,0;0,0;0,0;0,5153558188558552;0,507627487568229;0,5153558188558552;0,4992084268448236;0,0574402004254548;0,9333333333333332;0,0029716196690324;0,529958020260622;0,2090566602432506;0,2309653398754618;0,002163415773897;0,0036717236927049;0,0074266617155588;0,0
Bot-IoT;RANDOM_L2;distributive;4;15;0,8820838928222656;0,4844932556152344;49,53569092098567;0,9998182743330668;0,9998092268835426;0,9998182743330668;0,9998130802562653;0,9996511671223114;0,1333333333333333;0,0;0,8865246598480357;0,7730896908630509;0,7855742552355087;0,0;0,0;0,0;0,0;0,50446136512321;0,4965467844500194;0,50446136512321;0,489031557449863;0,0361366339675588;0,8666666666666667;0,0032805954144364;0,5284370616897143;0,2052192966518705;0,2200812654401904;0,0024230256667647;0,0040348612007746;0,0077979948013367;0,0
Bot-IoT;FGSM;distributive;4;20;0,4341902732849121;0,3832011222839355;88,35774514792469;0,9999273097332269;0,999918226647754;0,9999273097332269;0,9999221180042028;0,9998604595077843;0,1333333333333333;0,0;0,8866076613395611;0,7731578510598364;0,785619260980639;0,0;0,0;0,0;0,0;0,1163498582539798;0,131414670252585;0,1163498582539798;0,121332713933157;-0,5511608834611957;0,9333333333333332;0,0340600321698276;0,3727093332489528;0,1831240979049654;0,0517844773706943;0,0477509129614565;0,0199322143318269;0,0003713330857779;0,0
Bot-IoT;RANDOM_LINF;distributive;4;20;0,4341902732849121;0,4243485927581787;58,31758377553247;0,9999273097332269;0,999918226647754;0,9999273097332269;0,9999221180042028;0,9998604595077843;0,1333333333333333;0,0;0,8866076613395611;0,7731578510598364;0,785619260980639;0,0;0,0;0,0;0,0;0,4167514719779021;0,5179059468828984;0,4167514719779021;0,4537991733092615;0,0561119554823235;0,9333333333333332;0,0411301242264246;0,5256614922265681;0,2080394282128886;0,2043567840285455;0,0412433583135741;0,0410950613298902;0,0393613070924619;0,0
Bot-IoT;RANDOM_L2;distributive;4;20;0,4341902732849121;0,4165809154510498;60,14846986988442;0,9999273097332269;0,999918226647754;0,9999273097332269;0,9999221180042028;0,9998604595077843;0,1333333333333333;0,0;0,8866076613395611;0,7731578510598364;0,785619260980639;0,0;0,0;0,0;0,0;0,3984426110343825;0,5090334590575379;0,3984426110343825;0,4387190999766086;0,0408119669841535;0,8;0,0435474050581147;0,52896860928876;0,2054770122404758;0,1944637164421148;0,0426798663874418;0,0443632989025177;0,0471593018937987;0,0
Bot-IoT;FGSM;distributive;8;5;0,949012041091919;1,405776023864746;91,48887838918368;0,9996456349494802;0,9996365189675938;0,9996456349494802;0,9996381883204132;0,9993197179832564;0,2666666666666666;0,0;0,8727750676285341;0,7454030010463437;0,7685624218876884;0,0;0,0;0,0;0,0;0,0847568510576433;0,07528557974569;0,0847568510576433;0,0764878144561235;-0,7909731927814724;1,0;9,08752192364664e-06;0,3414325582846668;0,1870231448371991;0,0344548719085755;0,0;2,0174306003873465e-05;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;8;5;0,949012041091919;1,543771743774414;49,89005597150541;0,9996456349494802;0,9996365189675938;0,9996456349494802;0,9996381883204132;0,9993197179832564;0,2666666666666666;0,0;0,8727750676285341;0,7454030010463437;0,7685624218876884;0,0;0,0;0,0;0,0;0,5007450752344261;0,5091675021338765;0,5007450752344261;0,4951717089286375;0,0347354557097287;1,0;0,0;0,5081525739039;0,2047249877387503;0,2075329156489082;0,0;0,0;0,0;0,0
