Dataset;Attack;Binarization;Resolution;AddressSize;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_Miss_Attack;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_Miss_Attack
UNSW-NB15;RANDOM_L2;gaussian;2;10;0,530266284942627;0,4370908737182617;25,62794539182821;0,813535441869504;0,766176575040841;0,9518221124150712;0,8489689910278608;0,6376209084266985;0,3558918918918919;0,0481778875849289;0,7979651102615897;0,8722627164141533;0,0481778875849289;0,5572559879512219;0,5570870191318659;0,9557928174358068;0,7039022646781687;0,0538816436973597;0,931027027027027;0,044207182564193;0,51238289520439;0,768610155858534;0,044207182564193
UNSW-NB15;FGSM;gaussian;2;15;0,5426120758056641;0,3556666374206543;59,08759656026818;0,8233493659816353;0,784747142170101;0,9358731139151152;0,8536732599553293;0,6509345996961913;0,3145135135135135;0,0641268860848848;0,8106798002008008;0,8779642600933295;0,0641268860848848;0,2324734003789535;0,2589353201598099;0,2115944586605488;0,2328833640866271;-0,5302938426628785;0,741945945945946;0,7884055413394512;0,2348242563573014;0,4523129387713027;0,7884055413394512
UNSW-NB15;RANDOM_LINF;gaussian;2;15;0,5426120758056641;0,4982907772064209;27,96482534130107;0,8233493659816353;0,784747142170101;0,9358731139151152;0,8536732599553293;0,6509345996961913;0,3145135135135135;0,0641268860848848;0,8106798002008008;0,8779642600933295;0,0641268860848848;0,5437011125686246;0,5563131020076593;0,8459807641401218;0,6712290405012777;0,026053859911178;0,8266486486486486;0,1540192358598782;0,5096660577457366;0,7435484294543988;0,1540192358598782
UNSW-NB15;RANDOM_L2;gaussian;2;15;0,5426120758056641;0,5281920433044434;28,10450371665938;0,8233493659816353;0,784747142170101;0,9358731139151152;0,8536732599553293;0,6509345996961913;0,3145135135135135;0,0641268860848848;0,8106798002008008;0,8779642600933295;0,0641268860848848;0,5423043288150415;0,555735291974526;0,8412159181152387;0,6693052276855842;0,0230932808331035;0,8239189189189189;0,1587840818847613;0,5086484995981599;0,7421888635591902;0,1587840818847613
UNSW-NB15;FGSM;gaussian;2;20;0,5179135799407959;0,4050779342651367;59,966963027741336;0,8203007336151192;0,7677979479084451;0,965675461042972;0,855442758458968;0,6552537349431193;0,3578108108108108;0,0343245389570281;0,8039323251160806;0,8761862502173399;0,0343245389570281;0,2206311033377058;0,3071804426608792;0,3309582634783376;0,3186263578732757;-0,590947724937674;0,9145405405405406;0,6690417365216624;0,2082088614688985;0,5032565463844799;0,6690417365216624
UNSW-NB15;RANDOM_LINF;gaussian;2;20;0,5179135799407959;0,4467954635620117;27,24578535684789;0,8203007336151192;0,7677979479084451;0,965675461042972;0,855442758458968;0,6552537349431193;0,3578108108108108;0,0343245389570281;0,8039323251160806;0,8761862502173399;0,0343245389570281;0,5478428800466404;0,555734345559819;0,8913791582105356;0,6846318714366798;0,0283752428896831;0,873054054054054;0,1086208417894643;0,5091625520782408;0,753460070157538;0,1086208417894643
UNSW-NB15;RANDOM_L2;gaussian;2;20;0,5179135799407959;0,3535637855529785;27,119467521741235;0,8203007336151192;0,7677979479084451;0,965675461042972;0,855442758458968;0,6552537349431193;0,3578108108108108;0,0343245389570281;0,8039323251160806;0,8761862502173399;0,0343245389570281;0,5491060583977069;0,5567209761894891;0,8886879025853701;0,6845830324142912;0,0331526193858617;0,866945945945946;0,1113120974146298;0,5108709783197121;0,7533486603464735;0,1113120974146298
UNSW-NB15;FGSM;gaussian;4;5;1,188917636871338;0,8203506469726562;60,85361706262449;0,7689476752659962;0,72207309867477;0,9435277508162004;0,8180783612420744;0,5520427923013016;0,4449459459459459;0,0564722491837995;0,7492909024351272;0,8483472352201488;0,0564722491837995;0,1604115046397512;0,0298011936287103;0,0166328421424159;0,0213497940056347;-0,6973466220929987;0,6634324324324324;0,983367157857584;0,1766002048549917;0,2939380012213257;0,983367157857584
UNSW-NB15;RANDOM_LINF;gaussian;4;5;1,188917636871338;1,101065158843994;21,83476655492396;0,7689476752659962;0,72207309867477;0,9435277508162004;0,8180783612420744;0,5520427923013016;0,4449459459459459;0,0564722491837995;0,7492909024351272;0,8483472352201488;0,0564722491837995;0,5506000097167566;0,5506000097167566;1,0;0,710176713873919;0,0;1,0;0,0;0,5;0,7753000048583782;0,0
UNSW-NB15;RANDOM_L2;gaussian;4;5;1,188917636871338;1,0820262432098389;21,83476655492396;0,7689476752659962;0,72207309867477;0,9435277508162004;0,8180783612420744;0,5520427923013016;0,4449459459459459;0,0564722491837995;0,7492909024351272;0,8483472352201488;0,0564722491837995;0,5506000097167566;0,5506000097167566;1,0;0,710176713873919;0,0;1,0;0,0;0,5;0,7753000048583782;0,0
UNSW-NB15;FGSM;gaussian;4;10;1,0390517711639404;0,6940402984619141;63,13584025652238;0,7979279016664238;0,758872670191076;0,9277993470396187;0,834876681058012;0,6008884602974307;0,3611891891891892;0,0722006529603811;0,7833050789252148;0,8632128487261184;0,0722006529603811;0,1665694991012;0,0601435587457499;0,0351186799611753;0,044344168686109;-0,6787104638732816;0,6723783783783783;0,9648813200388248;0,1813701507913985;0,3132629514479095;0,9648813200388248
