Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_analysis,Clean_Miss_backdoor,Clean_Miss_dos,Clean_Miss_exploits,Clean_Miss_fuzzers,Clean_Miss_generic,Clean_Miss_reconnaissance,Clean_Miss_shellcode,Clean_Miss_worms,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_analysis,Adv_Miss_backdoor,Adv_Miss_dos,Adv_Miss_exploits,Adv_Miss_fuzzers,Adv_Miss_generic,Adv_Miss_reconnaissance,Adv_Miss_shellcode,Adv_Miss_worms
UNSW-NB15,FGSM,4,5,2048,2,17.705045700073242,21.19971489906311,19.840402273721033,0.33289607928873344,0.7390913495722085,0.33289607928873344,0.42561331758121324,0.26055451957545406,0.6888648648648649,0.006242830671490338,0.6613720708242081,0.17064652935854321,0.17456675052379106,0.005908419497784343,0.0,0.011494252873563218,0.007276320517427237,0.02210491586935005,0.0006888877113030576,0.0008581235697940503,0.0026455026455026454,0.0,0.1344920565515231,0.14402675914719465,0.1344920565515231,0.09534793001528519,-0.11049476658793347,0.8942432432432432,0.233102444189535,0.35113004644260537,0.08071339163501229,0.0368032088509407,0.9556868537666174,0.855917667238422,0.6742479823917829,0.3229428674092706,0.4226327944572748,0.00445127444226591,0.11327231121281464,0.05555555555555555,0.13636363636363635
UNSW-NB15,RANDOM_LINF,4,5,2048,2,17.705045700073242,68.58565759658813,14.129378613418842,0.33289607928873344,0.7390913495722085,0.33289607928873344,0.42561331758121324,0.26055451957545406,0.6888648648648649,0.006242830671490338,0.6613720708242081,0.17064652935854321,0.17456675052379106,0.005908419497784343,0.0,0.011494252873563218,0.007276320517427237,0.02210491586935005,0.0006888877113030576,0.0008581235697940503,0.0026455026455026454,0.0,0.19160229315454502,0.555062548071575,0.19160229315454502,0.1555975914269494,0.11004971631803727,0.9876756756756757,0.0034853966293126267,0.6188481023389191,0.14893139601389233,0.09093954926481329,0.0,0.0017152658662092624,0.0004891171435558817,0.002784764642472152,0.0026393929396238865,0.0050871707911610406,0.002574370709382151,0.005291005291005291,0.022727272727272728
UNSW-NB15,RANDOM_L2,4,5,2048,2,17.705045700073242,52.22776818275452,15.480007773405239,0.33289607928873344,0.7390913495722085,0.33289607928873344,0.42561331758121324,0.26055451957545406,0.6888648648648649,0.006242830671490338,0.6613720708242081,0.17064652935854321,0.17456675052379106,0.005908419497784343,0.0,0.011494252873563218,0.007276320517427237,0.02210491586935005,0.0006888877113030576,0.0008581235697940503,0.0026455026455026454,0.0,0.17809600155468105,0.5349206317581351,0.17809600155468105,0.1322480577189749,0.09366500330837758,0.9985675675675676,0.00048530839142327714,0.6205972861919664,0.14392627539890498,0.08156019307648703,0.0,0.0,0.0,0.00017966223499820338,0.0008248102936324645,0.0006358963488951301,0.0005720823798627002,0.0026455026455026454,0.0
UNSW-NB15,FGSM,4,5,2048,3,18.39810085296631,53.44800686836243,18.316086090463006,0.31580673371228685,0.719089035709883,0.31580673371228685,0.39099295071879914,0.23939391298959284,0.7543783783783784,0.00586781964175417,0.6551488383762117,0.16948942276496687,0.16111969008496357,0.005908419497784343,0.0,0.00880410858400587,0.005210204814947898,0.025899043220059387,0.00037093953685549255,0.0008581235697940503,0.0026455026455026454,0.0,0.1326458728076568,0.14070952794249064,0.1326458728076568,0.09336009195105639,-0.1030669377329507,0.8986756756756756,0.23308038471719755,0.3768499947653945,0.09504564111119945,0.03687737188465802,0.9409158050221565,0.8507718696397941,0.6786500366837858,0.33435141933165646,0.40778620917189046,0.004504265804673838,0.10097254004576658,0.05291005291005291,0.13636363636363635
UNSW-NB15,RANDOM_LINF,4,5,2048,3,18.39810085296631,69.72232937812805,13.715201865617258,0.31580673371228685,0.719089035709883,0.31580673371228685,0.39099295071879914,0.23939391298959284,0.7543783783783784,0.00586781964175417,0.6551488383762117,0.16948942276496687,0.16111969008496357,0.005908419497784343,0.0,0.00880410858400587,0.005210204814947898,0.025899043220059387,0.00037093953685549255,0.0008581235697940503,0.0026455026455026454,0.0,0.17865471505611427,0.5816464408640619,0.17865471505611427,0.14392476641703647,0.0945958833868307,0.9877567567567568,0.002205947233742169,0.6114596950626812,0.1492732516778716,0.0871845220639465,0.0,0.0,0.0007336757153338225,0.002874595759971254,0.003629165291982844,0.0018017063218695353,0.002002288329519451,0.0,0.045454545454545456
UNSW-NB15,RANDOM_L2,4,5,2048,3,18.39810085296631,54.482381105422974,14.798620220570374,0.31580673371228685,0.719089035709883,0.31580673371228685,0.39099295071879914,0.23939391298959284,0.7543783783783784,0.00586781964175417,0.6551488383762117,0.16948942276496687,0.16111969008496357,0.005908419497784343,0.0,0.00880410858400587,0.005210204814947898,0.025899043220059387,0.00037093953685549255,0.0008581235697940503,0.0026455026455026454,0.0,0.1678205315065831,0.5940889031533552,0.1678205315065831,0.12153292892640025,0.08018522963739966,0.9983513513513513,0.0001985352510367952,0.6093977989528858,0.1453969993985468,0.07891456763479988,0.0,0.0,0.0,0.00035932446999640676,0.0003299241174529858,0.00015897408722378252,0.0,0.0,0.0
UNSW-NB15,FGSM,4,10,1024,2,9.916773557662964,19.169647216796875,24.900403245396685,0.35607054365252877,0.7272727533403568,0.35607054365252877,0.4392606596969036,0.26951675345085085,0.6731891891891892,0.011095914585723109,0.679143236268015,0.1749174685977832,0.17861118499866532,0.007385524372230428,0.0,0.01173881144534116,0.023176428314768235,0.0278785879247773,0.0006358963488951301,0.002288329519450801,0.007936507936507936,0.0,0.10706651119856192,0.1382052467506644,0.10706651119856192,0.0928709205792881,-0.11551500507565012,0.8962972972972973,0.23105091326215477,0.36365269617843937,0.0932258293685419,0.042063246975770976,0.9246676514032496,0.8250428816466552,0.6629982880899975,0.3220445562342796,0.4204882876938304,0.0051401621535689685,0.11355835240274599,0.0582010582010582,0.13636363636363635
UNSW-NB15,RANDOM_LINF,4,10,1024,2,9.916773557662964,36.356101512908936,17.21080503327989,0.35607054365252877,0.7272727533403568,0.35607054365252877,0.4392606596969036,0.26951675345085085,0.6731891891891892,0.011095914585723109,0.679143236268015,0.1749174685977832,0.17861118499866532,0.007385524372230428,0.0,0.01173881144534116,0.023176428314768235,0.0278785879247773,0.0006358963488951301,0.002288329519450801,0.007936507936507936,0.0,0.1839624933197299,0.5961553123978933,0.1839624933197299,0.15845424974399877,0.1001158520751686,0.9733783783783784,0.006838436424600723,0.6498782933428211,0.1539228595876911,0.09089930275851785,0.004431314623338257,0.0017152658662092624,0.0019564685742235266,0.008983111749910169,0.008413064995051138,0.006252980764135446,0.006864988558352402,0.005291005291005291,0.06818181818181818
UNSW-NB15,RANDOM_L2,4,10,1024,2,9.916773557662964,28.675294399261475,19.090997425059513,0.35607054365252877,0.7272727533403568,0.35607054365252877,0.4392606596969036,0.26951675345085085,0.6731891891891892,0.011095914585723109,0.679143236268015,0.1749174685977832,0.17861118499866532,0.007385524372230428,0.0,0.01173881144534116,0.023176428314768235,0.0278785879247773,0.0006358963488951301,0.002288329519450801,0.007936507936507936,0.0,0.16516056940193363,0.5963154421807129,0.16516056940193363,0.12584852300440663,0.07800205752812221,0.993,0.0015441630636195182,0.6391146049325822,0.14821268291937692,0.07885468916276314,0.0,0.0,0.0004891171435558817,0.002066115702479339,0.0013196964698119432,0.0015367495098298977,0.0017162471395881006,0.005291005291005291,0.0
UNSW-NB15,FGSM,4,10,1024,3,10.155533790588379,23.484784841537476,26.405285915561382,0.3753825972890249,0.7602212375073277,0.3753825972890249,0.47590068335775826,0.29495739864708564,0.5929189189189189,0.0057354628077296394,0.6603362704582603,0.1685158739772929,0.18684809429220758,0.007385524372230428,0.003430531732418525,0.009048667155783811,0.00422206252245778,0.0255691191026064,0.00042393089926342006,0.0014302059496567505,0.0026455026455026454,0.0,0.11132973813341107,0.14711633117164366,0.11132973813341107,0.09257731120235291,-0.13788480678859605,0.8959459459459459,0.24333803935409865,0.32708495817998023,0.07677820596008772,0.03575713350708064,0.9645494830132939,0.8662092624356775,0.7028613352898019,0.35339561624146604,0.4138898053447707,0.006464946213767156,0.11784897025171624,0.04497354497354497,0.11363636363636363
