Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_bots;Clean_Miss_brute force;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_port scanning;Clean_Miss_web attacks;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_bots;Adv_Miss_brute force;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_port scanning;Adv_Miss_web attacks
CICIDS;RANDOM_LINF;distributive;1;10;2048;2;108,95325779914856;16,26315450668335;-8,115822442085808;0,720540076286668;0,8885937727118913;0,720540076286668;0,7558288347936187;0,4450516483595166;0,2904069573186448;0,2097863493815995;0,8269969709103725;0,2589578713485105;0,4549507347365164;0,1413881748071979;0,0737704918032786;0,0037105026754677;0,0081034349273529;0,9507690611389824;0,0372960372960372;0,8016983007075261;0,7064742347533814;0,8016983007075261;0,7466582542617181;0,0174348939759155;0,0392995904651895;0,9482963154371088;0,5215190300905246;0,1471499919359944;0,1388370550511501;0,9588688946015425;0,9612021857923496;0,9529742608288092;0,9391984309272496;0,9598654832129664;0,9370629370629372
CICIDS;RANDOM_L2;distributive;1;10;2048;2;108,95325779914856;14,218809366226196;-8,179295488851556;0,720540076286668;0,8885937727118913;0,720540076286668;0,7558288347936187;0,4450516483595166;0,2904069573186448;0,2097863493815995;0,8269969709103725;0,2589578713485105;0,4549507347365164;0,1413881748071979;0,0737704918032786;0,0037105026754677;0,0081034349273529;0,9507690611389824;0,0372960372960372;0,8023330311751836;0,7023036892482876;0,8023330311751836;0,7459612599386536;0,0097706181517814;0,0379058356323923;0,955719470512926;0,5073680028736296;0,1446670684374997;0,1372574787845912;0,9768637532133676;0,9579234972677596;0,9593797601843534;0,9492632067924334;0,963338662550306;0,9696969696969696
CICIDS;FGSM;distributive;1;10;2048;3;109,2669484615326;33,37413024902344;-5,605066735958076;0,7237137286249556;0,8782247447886274;0,7237137286249556;0,7587421750384883;0,4482280590687449;0,2866433419567936;0,2102209328274938;0,8210608394319028;0,2484450603695377;0,4586200690285981;0,1208226221079691;0,0743169398907103;0,0035152130609694;0,0077937495161165;0,9512652296157452;0,1585081585081585;0,7797643959845364;0,6922751392997851;0,7797643959845364;0,7332557025492626;-0,0197505187605321;0,0638454268612832;0,9447961568728784;0,4809172415658668;0,1425467850309165;0,1302826679732116;0,910025706940874;0,9737704918032788;0,8733742139593016;0,9763864873932232;0,9761839131153868;0,9347319347319348
CICIDS;RANDOM_LINF;distributive;1;10;2048;3;109,2669484615326;21,533790826797485;-7,354145880896789;0,7237137286249556;0,8782247447886274;0,7237137286249556;0,7587421750384883;0,4482280590687449;0,2866433419567936;0,2102209328274938;0,8210608394319028;0,2484450603695377;0,4586200690285981;0,1208226221079691;0,0743169398907103;0,0035152130609694;0,0077937495161165;0,9512652296157452;0,1585081585081585;0,7972551874339235;0,7080340338802799;0,7972551874339235;0,7455348008735164;0,0209449257575439;0,0455118230504138;0,939064353586488;0,5259678958997946;0,1481050822027638;0,1403495105004632;0,961439588688946;0,9486338797814208;0,945397023786275;0,9257013084208624;0,9569436021831412;0,951048951048951
CICIDS;RANDOM_L2;distributive;1;10;2048;3;109,2669484615326;18,658317804336548;-7,375369680909094;0,7237137286249556;0,8782247447886274;0,7237137286249556;0,7587421750384883;0,4482280590687449;0,2866433419567936;0,2102209328274938;0,8210608394319028;0,2484450603695377;0,4586200690285981;0,1208226221079691;0,0743169398907103;0,0035152130609694;0,0077937495161165;0,9512652296157452;0,1585081585081585;0,7974674254340466;0,7073877932898727;0,7974674254340466;0,7444350126297016;0,0118984554268903;0,044397296497475;0,947203984073104;0,50539198676856;0,1452918702453016;0,1379992671524751;0,9691516709511568;0,9540983606557376;0,9528570870601102;0,938656481457586;0,9563923038756272;0,944055944055944
CICIDS;FGSM;distributive;1;15;1024;2;99,91906833648682;23,18136620521545;5,220658096483;0,7508385384537569;0,8886002698332;0,7508385384537569;0,7790484360467382;0,4720894155277173;0,2540213645432589;0,2190770387249087;0,8646777534233846;0,2962016755489746;0,4704638564976477;0,1491002570694087;0,0502732240437158;0,00343709721517;0,0101421972179927;0,9893048128342246;0,1771561771561771;0,6986319574889269;0,6909972178084026;0,6986319574889269;0,6936661846834287;-0,0334480916010061;0,1629881721764531;0,8777411057212323;0,4620712864189156;0,1416209828926454;0,1261345335205945;0,8997429305912596;0,7868852459016393;0,7517868999726595;0,9465792665617178;0,9162577870885936;0,916083916083916
CICIDS;RANDOM_LINF;distributive;1;15;1024;2;99,91906833648682;15,240206718444824;7,759183260570746;0,7508385384537569;0,8886002698332;0,7508385384537569;0,7790484360467382;0,4720894155277173;0,2540213645432589;0,2190770387249087;0,8646777534233846;0,2962016755489746;0,4704638564976477;0,1491002570694087;0,0502732240437158;0,00343709721517;0,0101421972179927;0,9893048128342246;0,1771561771561771;0,6732467058480495;0,7034416355214118;0,6732467058480495;0,686369802016209;0,0046890292472251;0,1962521359770126;0,802816570549337;0,5209393882671333;0,1473798190333356;0,1332239337955108;0,794344473007712;0,7885245901639344;0,7990079287583486;0,8055949830963379;0,8039031920172005;0,8018648018648019
CICIDS;RANDOM_L2;distributive;1;15;1024;2;99,91906833648682;16,530977964401245;7,899617376539969;0,7508385384537569;0,8886002698332;0,7508385384537569;0,7790484360467382;0,4720894155277173;0,2540213645432589;0,2190770387249087;0,8646777534233846;0,2962016755489746;0,4704638564976477;0,1491002570694087;0,0502732240437158;0,00343709721517;0,0101421972179927;0,9893048128342246;0,1771561771561771;0,6718423646883572;0,7014485454500022;0,6718423646883572;0,6850112932264802;0,0026492904017273;0,1968869626645537;0,8016890026897192;0,5099180128897284;0,1447621610344041;0,1303114326140996;0,8149100257069408;0,7896174863387978;0,7996328555247432;0,8040981702753619;0,7998787143723469;0,8228438228438228
CICIDS;FGSM;distributive;1;15;1024;3;100,52636432647704;28,396417140960693;1,491021539181714;0,7501085984159508;0,8872034313592576;0,7501085984159508;0,7785261918157518;0,4710334747338706;0,2547874523879984;0,2200871515991496;0,8613194884113644;0,2779206556717113;0,4692778973767543;0,1542416452442159;0,0644808743169398;0,0035933289067687;0,0096002477483289;0,9912894867412756;0,2680652680652681;0,7351983830241337;0,7043308638861452;0,7351983830241337;0,7172083212609334;0,0103416513406981;0,1198581424875659;0,8571395012861321;0,4742210156072973;0,1425225866624433;0,1353114106968563;0,8817480719794345;0,853551912568306;0,7070265203296489;0,9308627319414696;0,9108550636749544;0,8787878787878788
CICIDS;RANDOM_LINF;distributive;1;15;1024;3;100,52636432647704;16,398770332336426;10,426638050901415;0,7501085984159508;0,8872034313592576;0,7501085984159508;0,7785261918157518;0,4710334747338706;0,2547874523879984;0,2200871515991496;0,8613194884113644;0,2779206556717113;0,4692778973767543;0,1542416452442159;0,0644808743169398;0,0035933289067687;0,0096002477483289;0,9912894867412756;0,2680652680652681;0,6458422179069366;0,7028898000925125;0,6458422179069366;0,6715796790262074;0,002740249015255;0,2291628879363836;0,7740166081349323;0,5137794434424726;0,1468514788260563;0,1307355147110832;0,8046272493573264;0,7825136612021858;0,7769792602429403;0,7755296910888023;0,7660841281217267;0,7319347319347319
