Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_reconnaissance;Clean_Miss_theft;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_reconnaissance;Adv_Miss_theft
Bot-IoT;RANDOM_LINF;linear;8;15;1024;2;7,141745328903198;17,23591685295105;19,709965835574614;0,8136675874100457;0,859687264493054;0,8136675874100457;0,8038293731198969;0,680299770560595;0,1333333333333333;0,0;0,833111776353423;0,8194984559579399;0,9035465534832294;0,0;0,0;0,0;0,0;0,6165679290542996;0,6176599807933013;0,6165679290542996;0,6108802667469897;0,2743530126645871;0,6;1,817504384729328e-05;0,8269438853330072;0,703986198910051;0,4810407917816499;0,0;2,0174306003873465e-05;0,0003713330857779;0,0
Bot-IoT;RANDOM_L2;linear;8;15;1024;2;7,141745328903198;20,363057136535645;34,68870393254343;0,8136675874100457;0,859687264493054;0,8136675874100457;0,8038293731198969;0,680299770560595;0,1333333333333333;0,0;0,833111776353423;0,8194984559579399;0,9035465534832294;0,0;0,0;0,0;0,0;0,4667805480846114;0,5389571235230869;0,4667805480846114;0,4828779187476866;0,107385236837779;0,6666666666666666;0,0052253251060968;0,7749543083790631;0,2257764780637068;0,2328611055422024;0,0042922168954118;0,006052291801162;0,0100259933160044;0,0
Bot-IoT;FGSM;linear;8;15;1024;3;7,302450895309448;21,710205793380737;53,75536090717452;0,7392236679508614;0,8213384952025259;0,7392236679508614;0,7129047260018195;0,5636177416089537;0,1333333333333333;0,0;0,8255410244766421;0,8138124798666132;0,8647374131463847;0,0;0,0;0,0;0,0;0,2016700588791161;0,2102102394928918;0,2016700588791161;0,1969172262068993;-0,3598280605492805;0,9333333333333332;0,0003271507892512;0,7739120085032006;0,3555401202187091;0,1361106831820681;0,0;0,0003026145900581;0,0077979948013367;0,0
Bot-IoT;RANDOM_LINF;linear;8;15;1024;3;7,302450895309448;16,887046337127686;14,92694628189285;0,7392236679508614;0,8213384952025259;0,7392236679508614;0,7129047260018195;0,5636177416089537;0,1333333333333333;0,0;0,8255410244766421;0,8138124798666132;0,8647374131463847;0,0;0,0;0,0;0,0;0,5899542051319329;0,5950503826236542;0,5899542051319329;0,5794317986984965;0,2293436614634518;0,2666666666666666;2,726256577093992e-05;0,818600504256225;0,5990583410365508;0,498297161435249;0,0;0,0;0,0011139992573338;0,0
Bot-IoT;RANDOM_L2;linear;8;15;1024;3;7,302450895309448;17,946075916290283;30,023806062368248;0,7392236679508614;0,8213384952025259;0,7392236679508614;0,7129047260018195;0,5636177416089537;0,1333333333333333;0,0;0,8255410244766421;0,8138124798666132;0,8647374131463847;0,0;0,0;0,0;0,0;0,4389856073271789;0,5301546682082847;0,4389856073271789;0,4592421045356119;0,0909237506025897;0,6;0,0047891240537617;0,6934086451599437;0,2218157104503939;0,2187618873668254;0,0039806850239706;0,0053260167850225;0,0122539918306721;0,0
Bot-IoT;FGSM;linear;8;15;2048;2;6,838321685791016;19,797531843185425;50,12629933851858;0,8032910518281602;0,8543004327631089;0,8032910518281602;0,7917400425849164;0,6642558080000788;0,0666666666666666;0,0;0,8337511937848099;0,8275687235466075;0,9058330060760176;0,0;0,0;0,0;0,0;0,3020280584429745;0,3410162331718724;0,3020280584429745;0,3118555290103194;-0,1736848695317441;0,9333333333333332;8,178769731281977e-05;0,7412685743890052;0,2642024788617229;0,1812253462456235;0,0;0,0;0,0033419977720014;0,0
Bot-IoT;RANDOM_LINF;linear;8;15;2048;2;6,838321685791016;16,724990844726562;18,933997237769866;0,8032910518281602;0,8543004327631089;0,8032910518281602;0,7917400425849164;0,6642558080000788;0,0666666666666666;0,0;0,8337511937848099;0,8275687235466075;0,9058330060760176;0,0;0,0;0,0;0,0;0,6139510794504616;0,6118119537115817;0,6139510794504616;0,6041310969274726;0,25948385653821;0,2;9,08752192364664e-06;0,8240340861145299;0,7064271263802513;0,7071106041903553;0,0;2,0174306003873465e-05;0,0;0,0
Bot-IoT;RANDOM_L2;linear;8;15;2048;2;6,838321685791016;18,787161350250244;31,66297157810569;0,8032910518281602;0,8543004327631089;0,8032910518281602;0,7917400425849164;0,6642558080000788;0,0666666666666666;0,0;0,8337511937848099;0,8275687235466075;0,9058330060760176;0,0;0,0;0,0;0,0;0,4866613360471032;0,5442326815387204;0,4866613360471032;0,4944571554339738;0,1181290122192636;0,4;0,002235530393217;0,7661890211924411;0,2297016046830028;0,2504862703396773;0,0016615033143529;0,002703357004519;0,005941329372447;0,0
Bot-IoT;FGSM;linear;8;15;2048;3;6,939844846725464;28,2535412311554;32,35898088245984;0,7647561241549756;0,835430435711366;0,7647561241549756;0,7450890856920213;0,6048915215497215;0,1333333333333333;0,0;0,8347008630610573;0,8263661144622223;0,678530866603105;0,0;0,0;0,0;0,0;0,4411663153303772;0,4192178570097149;0,4411663153303772;0,3598305233688914;0,0092661955128052;0,9333333333333332;0,0001090502630837;0,6866711707979327;0,3062251267341909;0,183125718950621;0,0;6,05229180116204e-05;0,0033419977720014;0,0
Bot-IoT;RANDOM_LINF;linear;8;15;2048;3;6,939844846725464;18,292474031448364;15,244057570691282;0,7647561241549756;0,835430435711366;0,7647561241549756;0,7450890856920213;0,6048915215497215;0,1333333333333333;0,0;0,8347008630610573;0,8263661144622223;0,678530866603105;0,0;0,0;0,0;0,0;0,6123155484480628;0,6173469791677645;0,6123155484480628;0,5969615185652489;0,2669682687893436;0,6666666666666666;9,08752192364664e-06;0,8244177807868137;0,5811809209607723;0,4649302457891894;0,0;0,0;0,0003713330857779;0,0
