Dataset;Attack;Binarization;Resolution;AddressSize;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_bots;Clean_Miss_brute force;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_port scanning;Clean_Miss_web attacks;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_bots;Adv_Miss_brute force;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_port scanning;Adv_Miss_web attacks
CICIDS;C&W;distributive;10;20;32,76432349998504;6,079453499987721;0,0009917663557179;0,9965466695494009;0,9965573060388077;0,9965466695494009;0,9963265688868204;0,9884277348056708;0,0005083386633318;0,0178414122787441;0,9086035727828696;0,8181983131236628;0,8704888729132121;0,6812339331619537;0,028415300546448;0,0044526032105612;0,0208005367880461;0,0031975301835823;0,5221445221445221;0,9965367518858436;0,9965473935348536;0,9965367518858436;0,996316599338579;0,9883943396078708;0,0005083386633318;0,0179001397714325;0,908509500414312;0,8180182850241674;0,8703957909729887;0,6812339331619537;0,0295081967213114;0,0044526032105612;0,0208005367880461;0,0033629196758365;0,5221445221445221
CICIDS;C&W;distributive;16;5;80,98839879990555;10,38980419980362;0,0001983532711413;0,9681642999815532;0,9676424380268362;0,9681642999815532;0,9651321893701847;0,8900286748719818;0,0004462879344744;0,186318843303304;0,7511840021953604;0,5269812367796339;0,575625353078025;1,0;0,8038251366120218;0,2780924110455806;0,1244935353170404;0,0898616241248139;1,0;0,9681623164488418;0,9676405735627152;0,9681623164488418;0,9651301473193298;0,8900215146815925;0,0004462879344744;0,1863305888018417;0,7511792253861255;0,5269733287809502;0,5756208737050528;1,0;0,8038251366120218;0,2780924110455806;0,1244935353170404;0,0899167539555653;1,0
CICIDS;C&W;distributive;16;10;75,47185659990646;5,361135699786246;0,0005950598134241;0,9858098069824318;0,9843828071979196;0,9858098069824318;0,9848214124582932;0,9519132457447452;0,0004128760035512;0,0819248523003558;0,8314158797661529;0,6729377752380996;0,6918513732072739;1,0;0,0519125683060109;0,0838183025426707;0,0655500787117086;0,0758586471139533;1,0;0,9858038563842976;0,9843770268791106;0,9858038563842976;0,9848153227660836;0,9518927126864096;0,0004128760035512;0,0819600887959689;0,8313313610160652;0,6727736327837973;0,6917642896510215;1,0;0,0530054644808743;0,0838183025426707;0,0655500787117086;0,0759137769447047;1,0
CICIDS;C&W;distributive;16;15;63,878897699993104;7,0439856997691095;0,0009917663557179;0,9930556519772846;0,9922501863075842;0,9930556519772846;0,9923829729734892;0,9766473157877468;0,0004725401659141;0,0387249086787488;0,860156434298431;0,7242698447226663;0,7503962819088873;0,8123393316195373;0,026775956284153;0,0226926532047025;0,0439237141603654;0,0121285627653123;1,0;0,9930457343137274;0,99224035749188;0,9930457343137274;0,9923730014121428;0,9766136595926176;0,0004725401659141;0,0387836361714373;0,8600623619298735;0,724089830761006;0,750303232773181;0,8123393316195373;0,0278688524590163;0,0226926532047025;0,0439237141603654;0,0122939522575665;1,0
CICIDS;C&W;distributive;16;20;52,420504800044;4,244804699672386;0,0009917663557179;0,9955191996048804;0,9946837671113972;0,9955191996048804;0,9949399762806548;0,9849654542285106;0,0004749267324086;0,0240900175007928;0,871558078798449;0,7450407386126947;0,7733680148413784;0,7043701799485861;0,0240437158469945;0,0101550599539116;0,0206198869648248;0,0135068085340978;1,0;0,9955092819413232;0,994673880809171;0,9955092819413232;0,9949299910811404;0,9849319886526032;0,0004749267324086;0,0241487449934812;0,8714640064298915;0,7448607146548271;0,7732751664851479;0,7043701799485861;0,0251366120218579;0,0101550599539116;0,0206198869648248;0,013672198026352;1,0
CICIDS;C&W;distributive;32;5;160,86145070008934;9,601410299772397;0,0005950598134241;0,9814678538771122;0,980213786151938;0,9814678538771122;0,980262860496165;0,9369465577742158;0,000458220766947;0,1074830571183593;0,8172609396373419;0,648059822713887;0,6774607762299395;1,0;0,1792349726775956;0,1318986056321524;0,1023252212960334;0,0365510777881911;1,0;0,981461903278978;0,9802080207046516;0,981461903278978;0,9802568624507444;0,9369258056123446;0,000458220766947;0,1075182936139724;0,8172466092096371;0,6480360687872183;0,6774480199544205;1,0;0,1792349726775956;0,1318986056321524;0,1023252212960334;0,0367164672804454;1,0
CICIDS;C&W;distributive;32;10;147,28537519997917;4,069508199812844;0,0009917663557068;0,9931330097530304;0,9915579203580344;0,9931330097530304;0,9922885660363884;0,9769105628437084;0,000467767032925;0,0382668342357791;0,8465765729637778;0,6970304370930569;0,705020683744327;1,0;0,0371584699453551;0,02183337890091;0,0445430849828382;0,0047962952753735;1,0;0,9931230920894732;0,9915480893838056;0,9931230920894732;0,9922785940571446;0,97687690786113;0,000467767032925;0,0383255617284675;0,8464825005952201;0,6968504228910417;0,704926869212736;1,0;0,0382513661202185;0,02183337890091;0,0445430849828382;0,0049616847676277;1,0
CICIDS;C&W;distributive;32;15;131,26106970012188;7,298762099584565;0,0009917663557179;0,9954696112870944;0,9946372324858443;0,9954696112870944;0,9948333918106782;0,9848007728198274;0,0004653804664305;0,0244071459613103;0,8655361396325808;0,733026329789914;0,7573265646850617;0,794344473007712;0,0229508196721311;0,0059368042807483;0,0262458386022865;0,0071668779976845;0,9976689976689976;0,9954596936235374;0,9946273463750336;0,9954596936235374;0,994823428097178;0,9847672991520372;0,0004653804664305;0,0244658734539987;0,8654420672640233;0,7328463061760181;0,7572338799781727;0,794344473007712;0,0240437158469945;0,0059368042807483;0,0262458386022865;0,0073322674899388;0,9976689976689976
CICIDS;C&W;distributive;32;20;88,78173710010014;3,7380152998957774;0,0009917663557179;0,9973301649704156;0,9973372425483432;0,9973301649704156;0,9971146672467222;0,9910605812357052;0,0005250446287934;0,0131197218665946;0,920311098408783;0,8409373277456504;0,8810018249527467;0,7840616966580977;0,0229508196721311;0,0042963715189626;0,013368086918372;0,001323115938034;0,275058275058275;0,9973202473068584;0,997327310929338;0,9973202473068584;0,9971047099751732;0,9910272427320296;0,0005250446287934;0,013178449359283;0,9202170260402254;0,8407572964212788;0,8809092087877506;0,7840616966580977;0,0240437158469945;0,0042963715189626;0,013368086918372;0,0014885054302883;0,275058275058275
CICIDS;FGSM;gaussian;1;5;3,7566881000529975;1,3728718000929805;11,269242746716756;0,9284361233043276;0,9320524869435324;0,9284361233043276;0,90845254701428;0,7390033498352303;0,0008639370710146;0,4187857503611741;0,671832708910341;0,4006972140890102;0,4500074996088297;1,0;0,6978142076502732;0,2299339921102995;0,2476967147539291;0,9964716908319092;1,0;0,8157436958371599;0,7616944718499526;0,8157436958371599;0,7628474416959123;0,1425639189023163;0,0189827498973776;0,7782567331070367;0,510804730291299;0,14723138185327;0,1321923530645748;0,9640102827763496;1,0;0,7464359645354061;0,9959482825363236;0,326644247202161;0,9953379953379954
